State,Year,GEO.id2,County,Zip Code,Households,Poverty Households,ALICE Households,Above ALICE Households,Poverty %,ALICE %,Above ALICE %
Texas,2022,75001_ZCTA,Dallas,75001,9355,759,3141,5455,8%,34%,58%
Texas,2022,75002_ZCTA,Collin,75002,22731,985,5173,16573,4%,23%,73%
Texas,2022,75006_ZCTA,Dallas,75006,18491,1363,5698,11430,7%,31%,62%
Texas,2022,75007_ZCTA,Denton,75007,20170,1453,4708,14009,7%,23%,69%
Texas,2022,75009_ZCTA,Collin,75009,8507,567,1228,6712,7%,14%,79%
Texas,2022,75010_ZCTA,Denton,75010,12616,788,2826,9002,6%,22%,71%
Texas,2022,75013_ZCTA,Collin,75013,16562,710,3195,12657,4%,19%,76%
Texas,2022,75019_ZCTA,Dallas,75019,16923,519,2299,14105,3%,14%,83%
Texas,2022,75020_ZCTA,Grayson,75020,9509,1347,2797,5365,14%,29%,56%
Texas,2022,75021_ZCTA,Grayson,75021,3373,478,1014,1881,14%,30%,56%
Texas,2022,75022_ZCTA,Denton,75022,9029,333,1121,7575,4%,12%,84%
Texas,2022,75023_ZCTA,Collin,75023,18408,1255,4394,12759,7%,24%,69%
Texas,2022,75024_ZCTA,Collin,75024,17915,801,3670,13444,4%,20%,75%
Texas,2022,75025_ZCTA,Collin,75025,18492,735,4246,13511,4%,23%,73%
Texas,2022,75028_ZCTA,Denton,75028,17404,602,2808,13994,3%,16%,80%
Texas,2022,75032_ZCTA,Rockwall,75032,12283,313,2836,9134,3%,23%,74%
Texas,2022,75033_ZCTA,Denton,75033,15042,291,2024,12727,2%,13%,85%
Texas,2022,75034_ZCTA,Denton,75034,20853,1137,5244,14472,5%,25%,69%
Texas,2022,75035_ZCTA,Collin,75035,26920,882,3682,22356,3%,14%,83%
Texas,2022,75036_ZCTA,Denton,75036,11343,487,1815,9041,4%,16%,80%
Texas,2022,75038_ZCTA,Dallas,75038,13716,1234,4908,7574,9%,36%,55%
Texas,2022,75039_ZCTA,Dallas,75039,11306,626,1705,8975,6%,15%,79%
Texas,2022,75040_ZCTA,Dallas,75040,20062,1772,7003,11287,9%,35%,56%
Texas,2022,75041_ZCTA,Dallas,75041,9728,1572,3424,4732,16%,35%,49%
Texas,2022,75042_ZCTA,Dallas,75042,11471,1473,4624,5374,13%,40%,47%
Texas,2022,75043_ZCTA,Dallas,75043,22026,2207,7317,12502,10%,33%,57%
Texas,2022,75044_ZCTA,Dallas,75044,16357,887,5321,10149,5%,33%,62%
Texas,2022,75048_ZCTA,Dallas,75048,9725,193,1502,8030,2%,15%,83%
Texas,2022,75050_ZCTA,Dallas,75050,16155,1837,5619,8699,11%,35%,54%
Texas,2022,75051_ZCTA,Dallas,75051,13290,2702,5730,4858,20%,43%,37%
Texas,2022,75052_ZCTA,Dallas,75052,30996,2223,8301,20472,7%,27%,66%
Texas,2022,75054_ZCTA,Tarrant,75054,4941,160,422,4359,3%,9%,88%
Texas,2022,75056_ZCTA,Denton,75056,26243,1713,5117,19413,7%,19%,74%
Texas,2022,75057_ZCTA,Denton,75057,6583,892,2124,3567,14%,32%,54%
Texas,2022,75058_ZCTA,Grayson,75058,1167,66,233,868,6%,20%,74%
Texas,2022,75060_ZCTA,Dallas,75060,14516,1896,4999,7621,13%,34%,53%
Texas,2022,75061_ZCTA,Dallas,75061,18697,2636,7745,8316,14%,41%,44%
Texas,2022,75062_ZCTA,Dallas,75062,17665,1149,7193,9323,7%,41%,53%
Texas,2022,75063_ZCTA,Dallas,75063,17497,1162,3193,13142,7%,18%,75%
Texas,2022,75065_ZCTA,Denton,75065,4646,160,1408,3078,3%,30%,66%
Texas,2022,75067_ZCTA,Denton,75067,27074,2167,9886,15021,8%,37%,55%
Texas,2022,75068_ZCTA,Denton,75068,21699,1055,3753,16891,5%,17%,78%
Texas,2022,75069_ZCTA,Collin,75069,15279,2044,5268,7967,13%,34%,52%
Texas,2022,75070_ZCTA,Collin,75070,21648,1079,6379,14190,5%,29%,66%
Texas,2022,75071_ZCTA,Collin,75071,21977,1115,4593,16269,5%,21%,74%
Texas,2022,75072_ZCTA,Collin,75072,17785,685,2490,14610,4%,14%,82%
Texas,2022,75074_ZCTA,Collin,75074,17979,2230,5905,9844,12%,33%,55%
Texas,2022,75075_ZCTA,Collin,75075,14600,1062,4117,9421,7%,28%,65%
Texas,2022,75076_ZCTA,Grayson,75076,3407,156,994,2257,5%,29%,66%
Texas,2022,75077_ZCTA,Denton,75077,13801,563,2833,10405,4%,21%,75%
Texas,2022,75078_ZCTA,Collin,75078,11942,180,1050,10712,2%,9%,90%
Texas,2022,75080_ZCTA,Dallas,75080,19011,2698,4388,11925,14%,23%,63%
Texas,2022,75081_ZCTA,Dallas,75081,14005,1345,3257,9403,10%,23%,67%
Texas,2022,75082_ZCTA,Collin,75082,12184,652,2865,8667,5%,24%,71%
Texas,2022,75087_ZCTA,Rockwall,75087,14195,544,2715,10936,4%,19%,77%
Texas,2022,75088_ZCTA,Dallas,75088,9676,577,1843,7256,6%,19%,75%
Texas,2022,75089_ZCTA,Dallas,75089,11364,919,2265,8180,8%,20%,72%
Texas,2022,75090_ZCTA,Grayson,75090,8618,1378,2982,4258,16%,35%,49%
Texas,2022,75092_ZCTA,Grayson,75092,11598,1092,4021,6485,9%,35%,56%
Texas,2022,75093_ZCTA,Collin,75093,19475,1357,4344,13774,7%,22%,71%
Texas,2022,75094_ZCTA,Collin,75094,6384,252,915,5217,4%,14%,82%
Texas,2022,75098_ZCTA,Collin,75098,20779,818,5069,14892,4%,24%,72%
Texas,2022,75101_ZCTA,Ellis,75101,216,24,135,57,11%,63%,26%
Texas,2022,75102_ZCTA,Navarro,75102,581,39,220,322,7%,38%,55%
Texas,2022,75103_ZCTA,Van Zandt,75103,6205,598,1966,3641,10%,32%,59%
Texas,2022,75104_ZCTA,Dallas,75104,16240,1566,4343,10331,10%,27%,64%
Texas,2022,75109_ZCTA,Navarro,75109,1593,275,378,940,17%,24%,59%
Texas,2022,75110_ZCTA,Navarro,75110,10541,1926,3904,4711,18%,37%,45%
Texas,2022,75114_ZCTA,Kaufman,75114,2281,141,779,1361,6%,34%,60%
Texas,2022,75115_ZCTA,Dallas,75115,20429,1685,6038,12706,8%,30%,62%
Texas,2022,75116_ZCTA,Dallas,75116,6907,750,3107,3050,11%,45%,44%
Texas,2022,75117_ZCTA,Van Zandt,75117,1510,170,314,1026,11%,21%,68%
Texas,2022,75119_ZCTA,Ellis,75119,10230,1083,3537,5610,11%,35%,55%
Texas,2022,75124_ZCTA,Henderson,75124,1883,187,482,1214,10%,26%,64%
Texas,2022,75125_ZCTA,Ellis,75125,2162,283,848,1031,13%,39%,48%
Texas,2022,75126_ZCTA,Kaufman,75126,21282,1540,6271,13471,7%,29%,63%
Texas,2022,75127_ZCTA,Van Zandt,75127,745,83,236,426,11%,32%,57%
Texas,2022,75134_ZCTA,Dallas,75134,6849,685,2764,3400,10%,40%,50%
Texas,2022,75135_ZCTA,Hunt,75135,2683,135,719,1829,5%,27%,68%
Texas,2022,75137_ZCTA,Dallas,75137,6742,631,2003,4108,9%,30%,61%
Texas,2022,75140_ZCTA,Van Zandt,75140,2894,659,1068,1167,23%,37%,40%
